16  175270905591    18589309943 2117857558  44867
32  91906079878 9751770716  1158324336  23657
48  64182495841 6812476069  820697775   16590
64  50367234356 5347761632  654360220   13136
80  42115006288 4472840290  550519853   11062
96  36644215418 3892844361  485223905   9690
120 31219411753 3317764902  419372665   8318
160 25886521063 2752516484  357338399   6975
192 23288987691 2477273205  327994834   6305
240 20783321934 2211843719  300361404   5672
320 18461376509 1966083264  269841747   5106
480 16598709748 1769474991  280062358   4588
960 16573113636 1769481764  307462145   4782
