16  175270905592    18589314537 2110495357  44862
32  91906079878 9751770227  1155974472  23654
48  64182495842 6812476214  819552844   16611
64  50367234355 5347745076  651683536   13133
80  42115006299 4472868196  551012160   11183
96  36644215417 3892846541  484399986   9686
120 31219411753 3317765128  420634301   8318
160 25886521064 2752525663  356911629   6985
192 23288987690 2477264653  327836008   6303
240 20783321934 2211848433  299954278   5678
320 18461376508 1966083283  270371249   5109
480 16598709748 1769474907  279750561   4586
960 16573113636 1769481904  307417018   4782
