144 56719054005 5971973979  119875318   13349
288 452322408039    47775798450 3708253758  109695
432 169247506283    17915925615 815287935   41028
576 450604348836    47775907953 3781540330  112207
720 98450966189 10450958823 966437760   24845
864 188849022131    20065840957 2356920736  49412
1008    330239401666    35115273490 4479333325  89567
1152    538838834171    57330987899 7981899848  147603
1296    83309610461 8868386959  1301949334  23135
1440    123369200993    13138352417 1990499981  34538
1584    176353938523    18787843243 3033686382  49927
1728    244778307952    26085603986 4837059185  70404
1872    331379996871    35324256885 6985138642  96309
2016    439119894575    46820324438 10905268481 131425
2160    571182092981    60914191244 11809748689 168431
2304    730973887175    77970170958 18237828395 217889
